Material_Hardness_HB,Tool_Diameter_mm,Number_of_Flutes,Tool_Wear_VB_mm,Cutting_Temperature_C,Rake_Angle_deg,Cutting_Speed_vc_mpm,Spindle_Speed_RPM,Feed_Rate_mm_rev,Axial_Depth_ap_mm,Radial_Depth_ae_mm,Feed_Speed_vf_mmpm,Coolant_Flow_Rate_Lpm,Material_Removal_Rate_cm3_min,Speed_x_Feed,Depth_Ratio,MRR_per_Flute,Wear_to_Diameter_Ratio,Wear_x_Temperature,Wear_Friction_Index,Operation_Type_CNC Milling,Operation_Type_CNC Turning,Workpiece_Material_AISI 1045 Steel,Workpiece_Material_AISI 304 Stainless Steel,Workpiece_Material_Al 6061-T6 Aluminum,Workpiece_Material_Inconel 718 Superalloy,Workpiece_Material_Ti-6Al-4V Titanium,Tool_Coating_AlCrN,Tool_Coating_TiAlN,Tool_Coating_TiCN,Tool_Coating_Uncoated Carbide,Coolant_Condition_Cryogenic (LN2),Coolant_Condition_Dry,Coolant_Condition_Flood Coolant,Coolant_Condition_MQL (Min Lubrication),Power_Consumption_kW,Carbon_Emission_Rate_kgCO2e_hr
-0.09445361764153773,-0.833428699991712,0.7616548320646758,-0.15863840728205042,-0.18252930984497928,1.3772420314261549,-0.1204726523353484,0.39929044846792744,-0.23118047501057107,-0.237361924684928,-0.242430873495589,0.7596415059943008,-1.0253420166140133,-0.6094174596145595,-0.21985964365866884,-0.5926325010196357,-0.5815466754894761,0.2509533290546025,-0.29853852668718744,-0.05670803465509852,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.6,2.2583
-1.3010307971373272,-0.833428699991712,0.7616548320646758,-0.8216146450931797,-1.0703885298045575,-0.9289526046567173,0.42363046007831845,0.8300463447730158,-1.2486165082693115,-1.584302001032245,0.09859425075340747,0.029035945444026545,-1.0136584863936862,-0.7696319665945363,-0.6965425385360889,-0.6591617433119106,-0.6216041780894526,-0.33386407530206336,-0.6333576516642756,-0.8853070819969993,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.793,2.4153
-0.03803094378022365,-0.833428699991712,1.3475431644221187,-0.5128311918660784,-0.5571933069201204,-0.2327429031977371,-0.7729401162779428,-0.1172205012649499,-0.7058374581291195,-0.6235475409803127,0.16927303298117866,0.07234518658170568,-1.0105428783349324,-0.6517245190305688,-0.7795593687527441,-0.6381408753265081,-0.6009617187918044,-0.06148336642361634,-0.4958719954944653,-0.6980135947016306,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.463,1.7902
-0.36788657558482807,-0.963661706928164,-0.4101218326502102,1.239968998511291,1.003172045604585,-0.12396013734477143,-0.08500795547133594,1.1127502109090155,-0.28062391075208654,0.9682907310665163,0.03321637719271901,0.3650718284124098,-1.0074272702761784,-0.41855907195751313,-0.2288716428319266,-0.588740748940859,-0.43134418411472863,2.6102368702917276,0.989995306946679,1.0758743394815555,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.364,4.1609
-1.2706493573658506,1.9463948330668566,-0.9960101650076532,-0.4946674593233077,-0.6850198470986979,-0.5590912007566341,0.36607810113233297,-0.7303490175086746,1.9849841892257996,0.3277877576985617,-0.6824062928634653,-0.6370959378866401,0.14924222153619743,1.964682535502969,1.763058985815127,0.15756312781529305,2.157094596192787,-0.6776193126150791,-0.5207401203865913,-0.6786171762643947,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.255,3.9619
-1.432322019006923,-0.5729626861188079,0.7616548320646758,-0.8670239764501062,-0.9538963626467404,1.116163393379037,2.5266247653478366,1.119589570998348,-0.9134998882434845,-0.406906829399975,1.323104152849545,0.6306941515550859,1.6018944789301912,-0.07291123762333804,0.308228032127076,-0.6559253960178941,-0.4474071410152179,-0.5309387442795279,-0.6225904171572972,-0.7132369172916335,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.044,3.8537
1.1718013899767952,-0.70319569305526,0.7616548320646758,-0.7217141161079409,-0.7700276447544022,-1.6686754124568839,-0.9730771482883062,-0.44250789447299504,-0.6168392737943917,-0.58587089548808,-0.30604177750058315,-0.33537296900203717,1.0847035411770483,-0.7832717176918779,-0.8384070913071762,-0.5975963203193072,-0.6250144458320177,-0.37592204759968095,-0.5765512075412518,-0.748561479017244,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.11,1.9879
-0.040201046621043596,-0.41017142744824286,1.9334314967795616,0.7132207547709414,-0.3103558500235569,-0.4503084349036684,0.10123355203675365,-0.2145808037131004,-1.1123723742260245,0.883518278708993,0.3459699885506069,-0.17966730845379028,1.5536025540195062,-0.5365506289835402,-0.6808298835451954,-0.614798233579303,-0.5876557162657259,0.09105354644721549,-0.0879478510203271,1.1174268090495956,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.808,2.8283
-0.20404381110293582,0.06289997024841919,-0.9960101650076532,-0.7943690462790237,0.5353143148031902,1.0291371806966645,0.7548416933638629,-0.32534130036342795,2.3277920103669736,-0.09607450408905567,-0.6771053841963824,-0.3329508809490645,-1.0144373884083746,2.1425880660028276,2.6039368702095933,-0.036245888031229495,2.3350173420135243,-0.6278476638311324,-0.4015816718882335,-0.45671440352886494,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.115,4.9438
1.8412781163696934,-0.963661706928164,-0.4101218326502102,0.3953554352724548,-0.09500276262910595,0.050092288019973674,-0.7566595390625919,0.31517560356834934,0.15118209472381514,0.13940453023739832,-0.3290123817246089,0.10579306921799575,0.4288680448093578,-0.7034238017099068,-0.45434925809746785,-0.5566599896556544,-0.5737903316926656,1.492679500608335,-0.07799270140499748,0.7288348710541522,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.995,2.9089
1.935677589945353,1.6563008101159098,-0.9960101650076532,-0.9941701042495009,-0.5282276869781768,-0.10220358417417828,-0.6847968638381454,-0.8217674324584002,-1.107977402160112,-0.45400263626526566,-0.7336484099785994,-0.7613721225094076,0.976436161135351,-0.6214731491764441,-0.9015331687464445,2.264794549124596,-0.42931134208935573,-0.7284363228670316,-0.5992548260101116,-0.8041274262099207,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.247,2.5224
-1.2858400772515888,-0.41017142744824286,0.7616548320646758,-0.9578426391639595,-0.6762042236381064,-0.18922979685655078,-0.058357583851303164,-0.2752375719261885,-0.008135642665512595,0.06405123925293299,2.826795244745379,0.08820409645236045,-1.0175529964671286,0.18578143118482462,-0.04568439613647892,-0.6607480995938705,-0.3827277156079237,-0.616498466884325,-0.6054497381894017,-1.0171156991407206,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.527,2.2864
-0.017414966792435815,-1.02877821039639,-0.4101218326502102,-0.9760063717067302,-0.6598323514970078,-1.71218851879807,-0.47107540115764834,1.1869000153164433,-0.4443366202073266,-1.1698589006176858,0.20107848498367584,0.2883723734016067,-1.0144373884083746,-0.6797890428711422,-0.5278399071765251,-0.6515262544252133,-0.5619718087451531,-0.17364506905898824,-0.6073298569074215,-0.9232848566703308,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.494,3.2205
-1.2402679175943738,-1.02877821039639,-0.4101218326502102,-0.7671234474648676,-1.0049010412401629,0.8333282021613263,0.0717833359274566,2.0463073894375943,-0.3981894135152454,0.346626080444678,-0.242430873495589,0.7645433508634122,-1.0136584863936862,-0.54242427308404,-0.21659240416946507,-0.568143699786067,-0.49328277768781315,0.19486693675111988,-0.6192330623036907,-0.8894012858257745,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.773,3.8321
-0.06407217787006089,-0.70319569305526,0.7616548320646758,-0.2040477386389771,0.2790315470559929,1.0508937338672577,-0.7619481342089798,-0.3171712050530937,-0.07735645270363424,2.042075127595147,0.06502182919521604,0.0044690523353031935,-1.0253420166140133,-0.437904248231235,-0.5426396675849777,-0.564125310840977,-0.5386642234542403,-0.03344264867883151,-0.17194491962832484,-0.5062947258040328,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.666,1.8135
